stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
T_13073_STOP,BD-005B,K7 - CL40,4.6284525029210322,-74.065055998900732,0,,0
T_13076_STOP,BD-006B,K7 - CL40,4.6284724492693536,-74.065234462078962,0,,0
T_11414_STOP,BD-006A,K7 - CL40,4.6280409591774152,-74.0653451108971,0,,0
T_11413_STOP,BD-008A,K7 - CL45,4.63209761633723,-74.064098795105821,0,,0
T_11380_STOP,BD-007A,K7 - CL45,4.6320892830955742,-74.063935794857557,0,,0
T_11381_STOP,BD-009A,K7 - CL50,4.6370467828611508,-74.06339729379944,0,,0
T_11412_STOP,BD-010A,K7 - CL51,4.6379231161573049,-74.063366460611746,0,,0
T_11411_STOP,BD-012A,K7 - CL55,4.6418401162619123,-74.062406460246663,0,,0
T_13077_STOP,BD-012B,K7 - CL56,4.6427376721873115,-74.062139723254973,0,,0
T_11382_STOP,BD-011A,K7 - CL57,4.6430127833682757,-74.061882793313359,0,,0
T_11410_STOP,BD-014A,K7 - CL60,4.6461246163604528,-74.0609467926268,0,,0
T_13078_STOP,BD-014B,K7 - CL61,4.6463807830352541,-74.060701959130014,0,,0
T_11383_STOP,BD-013A,K7 - CL61,4.64654661633145,-74.060398125801683,0,,0
T_13079_STOP,BD-016B,K7 - CL66,4.6505273898995094,-74.058509318403821,0,,0
T_11384_STOP,BD-015A,K7 - CL66,4.6503526160697648,-74.058460291421923,0,,0
T_13080_STOP,BD-018A,K7 - CL71,4.6530572831902868,-74.056453789673654,0,,0
T_11408_STOP,BD-018B,K7 - CL71,4.6536841206284389,-74.056060890812333,0,,0
T_13075_STOP,BD-019B,K7 - CL73,4.6558979509694582,-74.054807831065744,0,,0
T_11386_STOP,BD-019A,K7 - CL73,4.6565341592477072,-74.054362865195017,0,,0
T_11511_STOP,BD-029B,K7 - CL74,4.6573182832916125,-74.054036454740654,0,,0
T_13081_STOP,BD-029A,K7 - CL74,4.6570693059466874,-74.0543515756677,0,,0
T_11675_STOP,BD-031A,K7 - CL78,4.6601141166875211,-74.051427119664723,0,,0
T_11704_STOP,BD-030A,K7 - CL79,4.6605459500317163,-74.051208119515891,0,,0
T_11510_STOP,BD-032A,K7 - CL81,4.6628211167468878,-74.049050451410352,0,,0
T_11802_STOP,BD-033A,K7 - CL82,4.6623536167409751,-74.049320784922543,0,,0
T_11509_STOP,BD-034A,K7 - CL86,4.6668232835059484,-74.046090449409277,0,,0
T_11595_STOP,BD-035A,K7 - CL87,4.6658274501462476,-74.046397449616165,0,,0
T_11508_STOP,BD-036A,K7 - CL90,4.6692642835639,-74.044956948650679,0,,0
T_11596_STOP,BD-037A,K7 - CL92,4.6706991169335854,-74.044069281377773,0,,0
T_11597_STOP,BD-039A,K7 - CL94,4.6745559503569458,-74.041305279501827,0,,0
T_11507_STOP,BD-038A,K7 - CL94,4.6750554503656039,-74.0410719460136,0,,0
T_12923_STOP,12923,San Diego,4.611194220015828,-74.071308462004708,0,,0
T_12922_STOP,12922,San Diego,4.6101668597174168,-74.071867447605086,0,,0
T_12925_STOP,12925,San Diego,4.610384055164503,-74.0718107877974,0,,0
T_12924_STOP,12924,San Diego,4.611362795478235,-74.071291008304343,0,,0
T_11690_STOP,BD-065A,CL134 - K7,4.711922117916906,-74.029832271617764,0,,0
T_11522_STOP,BD-020A,K11 - CL75,4.660412283376826,-74.056576623097342,0,,0
T_11705_STOP,BD-047A,K11 - CL78,4.6632331167723331,-74.054638288481087,0,,0
T_11519_STOP,BD-044A,K11 - CL93,4.6747021170358,-74.04747345035706,0,,0
T_11518_STOP,BD-043A,K11 - CL95,4.6794789504819265,-74.045049948721982,0,,0
T_11395_STOP,BD-028A,K13 - CL37,4.6256356162036143,-74.067500463100245,0,,0
T_11392_STOP,BD-025A,K13 - CL52,4.6394494495001721,-74.065217628796645,0,,0
T_11391_STOP,BD-024A,K13 - CL55,4.642663949228786,-74.064696628303366,0,,0
T_11390_STOP,BD-023A,K13 - CL60,4.6472796160504117,-74.063891461263808,0,,0
T_11389_STOP,BD-022A,K13 - CL66,4.6529554494760337,-74.062999127684535,0,,0
T_11598_STOP,BD-041A,K7 - CL100,4.6804104504911921,-74.037680443692736,0,,0
T_11676_STOP,BD-052A,K7 - CL106,4.6856841008752435,-74.035283859667857,0,,0
T_11701_STOP,BD-054A,K7 - CL110,4.6895067840393665,-74.034847775079228,0,,0
T_11678_STOP,BD-053A,K7 - CL110,4.68895711736081,-74.034565441552061,0,,0
T_13082_STOP,BD-056A,K7 - CL116,4.6925828550487072,-74.033757919124383,0,,0
T_11681_STOP,BD-055A,K7 - CL116,4.6933637841296223,-74.033133440558743,0,,0
T_11699_STOP,BD-056B,K7 - CL116,4.6927306174492305,-74.03365794092494,0,,0
T_11697_STOP,BD-058B,K7 - CL118,4.6954464508462781,-74.032414773399935,0,,0
T_13083_STOP,BD-058A,K7 - CL118,4.6952147651004443,-74.032591393417931,0,,0
T_11696_STOP,BD-060A,K7 - CL124,4.70094078430702,-74.028757270850193,0,,0
T_11684_STOP,BD-059A,K7 - CL124,4.7000872842806434,-74.0286786041267,0,,0
T_11688_STOP,BD-063A,K7 - CL130,4.7089177774373514,-74.0284825191866,0,,0
T_11692_STOP,BD-064A,K7 - CL132,4.7111927845592767,-74.029184104489246,0,,0
T_13074_STOP,BD-017A,K7 - CL70A,4.6539225559239208,-74.055733611981466,0,,0
T_11385_STOP,BD-017B,K7 - CL70A,4.6538032847050319,-74.055756630282971,0,,0
T_11702_STOP,BD-040A,K7 - CL97A,4.6781556171009093,-74.039766611782426,0,,0
Z_55647_STOP,325A13,AC 1 - KR 7,4.5868508937767833,-74.0821658376368,0,,0
Z_55188_STOP,005A13,AC 1 - KR 9,4.5887763009008395,-74.084027562515615,0,,0
Z_58208_STOP,517A13,AC 1 - KR 9,4.5889602939952807,-74.084558695437337,0,,0
Z_57702_STOP,861A00,AC 1- KR 11,4.5899192370431834,-74.085757847916511,0,,0
Z_56212_STOP,004A01,AC 153 - 7F,4.7293947685576025,-74.0281167874438,0,,0
Z_55718_STOP,416A13,AC 6 - KR 0,4.589900878625742,-74.072639288878577,0,,0
Z_57792_STOP,633A00,AC 6 - KR 5,4.5902664423014761,-74.077940251230658,0,,0
Z_55714_STOP,412A13,AC 6 - KR 5,4.59008876059783,-74.07790120661717,0,,0
Z_56002_STOP,575A13,AC 6 - KR 7,4.5910882368540387,-74.079886844395844,0,,0
Z_56003_STOP,576A13,AC 6 - KR 7,4.59091623685445,-74.079898844406344,0,,0
Z_57919_STOP,717A00,AC 6 - KR 9,4.5925208032825688,-74.081369556156986,0,,0
T_112_STOP,203A05,AC 63 - 105,4.6969106177715441,-74.127116166508628,0,,0
Z_52082_STOP,115A11,AC1 - KR 18,4.5930412909771894,-74.093015480826026,0,,0
T_12407_STOP,12407,AC80 - K106,4.7151174882361824,-74.1165677809961,0,,0
T_12415_STOP,12415,AC80 - K110,4.7168073513824664,-74.117792955682987,0,,0
T_12413_STOP,12413,AC80 - K114,4.7232742354917177,-74.122608651452637,0,,0
Z_58153_STOP,331A13,AK 7 - CL 2,4.5893456527767782,-74.080255546802249,0,,0
Z_55614_STOP,025A02,CL 138 - 74,4.7307009454977837,-74.07170506118436,0,,0
Z_58207_STOP,478A13,CL 2 - KR 8,4.589464011986605,-74.081292643342863,0,,0
Z_55664_STOP,354A13,CL 7 - KR 0,4.5920441890594166,-74.0719515980363,0,,0
Z_57679_STOP,452A00,CL 7 - KR 1,4.5925286781075787,-74.071957906538728,0,,0
Z_55665_STOP,358A13,CL 7 - KR 4,4.5938988579162077,-74.074864190349018,0,,0
T_11520_STOP,BD-045A,K11 - CL86A,4.6700901169317,-74.05003011873869,0,,0
T_11394_STOP,BD-027A,K13 - CL43A,4.6311529491458359,-74.066607129953,0,,0
T_13048_STOP,BD-049A,K7 - CL 100,4.6797134349299965,-74.03848529634439,0,,0
T_11683_STOP,BD-057A,K7 - CL119B,4.6968594508823474,-74.031259105928015,0,,0
T_11686_STOP,BD-061A,K7 - CL127B,4.7052201177450543,-74.028461937312926,0,,0
T_11694_STOP,BD-062A,K7 - CL127B,4.7052505782305811,-74.028729715331011,0,,0
Z_55655_STOP,338A13,KR 2 - CL 3,4.58798082624102,-74.074606362344028,0,,0
Z_55599_STOP,283A13,KR 3 - AC 1,4.5827628476151423,-74.07840342679178,0,,0
Z_55598_STOP,281A13,KR 3 - CL 1,4.5822586774671628,-74.0794095102916,0,,0
Z_57791_STOP,632A00,KR 4 - CL 6,4.5926912666979041,-74.07492759838469,0,,0
Z_57680_STOP,455A00,KR 4 - CL 9,4.5949060937173654,-74.073682195785182,0,,0
Z_55708_STOP,405A13,KR 5 - CL 5,4.5919944286787757,-74.076346153126721,0,,0
